k,period,T_theory,energy_drift
0.01,0.13188079470198677,0.13328648814475097,2.730781082174361e-25
0.02,0.09330841121495327,0.09424777960769379,4.162832843615179e-25
0.03,0.07632950191570881,0.07695298980971185,1.7095082239839003e-25
0.04,0.06613576158940399,0.06664324407237548,2.098243214023118e-25
0.05,0.05918100890207715,0.0596075295947766,1.3079284535468477e-25
0.060000000000000005,0.05403523035230352,0.05441398092702653,8.796690414077289e-26
0.06999999999999999,0.05002756892230576,0.05037755725088142,8.966095702374446e-26
0.08,0.046816901408450705,0.047123889803846894,1.2137234277935745e-25
0.09,0.044150442477876105,0.04442882938158366,3.122658860273486e-25
0.09999999999999999,0.04187631027253669,0.04214888838624436,9.882912682917754e-26
0.11,0.03993000000000001,0.04018738825457202,8.694725131553628e-26
0.12,0.03822988505747126,0.038476494904855926,2.2430838746323784e-25
0.13,0.03672794117647059,0.036967020564032525,8.945196018781837e-26
0.14,0.03539539007092199,0.03562231235171178,5.808697044901892e-26
0.15000000000000002,0.034198630136986305,0.034414423257272855,1.6391883061613477e-25
0.16,0.03311442786069651,0.03332162203618774,2.4763855112919523e-25
0.17,0.03212540192926045,0.032326721711084964,9.139714970167479e-26
0.18000000000000002,0.031221875,0.03141592653589793,6.90690420500567e-26
0.19,0.030389649923896502,0.03057801749275798,8.502031313302747e-26
0.2,0.029621661721068254,0.0298037647973883,4.1346598217233407e-26
